Synonym,Original_drug
alpha-Linolenic acid,Alpha-Linolenic Acid
cis-delta(9 12 15)-Octadecatrienoic acid,Alpha-Linolenic Acid
cis cis cis-9 12 15-Octadecatrienoic acid,Alpha-Linolenic Acid
Linolenic acid,Alpha-Linolenic Acid
Î±-linolenic acid,Alpha-Linolenic Acid
(2S)-2-amino-3-Hydroxypropanoic acid,L-Serine
(S)-(-)-Serine,L-Serine
(S)-(âˆ’)-serine,L-Serine
(S)-2-Amino-3-hydroxypropanoic acid,L-Serine
(S)-alpha-Amino-beta-hydroxypropionic acid,L-Serine
(S)-Serine,L-Serine
beta-Hydroxy-L-alanine,L-Serine
beta-Hydroxyalanine,L-Serine
L-(-)-Serine,L-Serine
L-(âˆ’)-serine,L-Serine
L-2-Amino-3-hydroxypropionic acid,L-Serine
L-3-Hydroxy-2-aminopropionic acid,L-Serine
L-3-Hydroxy-alanine,L-Serine
L-Ser,L-Serine
L-Serin,L-Serine
L-Serine,L-Serine
S,L-Serine
Ser,L-Serine
Serine,L-Serine
(2S)-2-amino-4-(Methylsulfanyl)butanoic acid,L-Methionine
(S)-2-amino-4-(methylthio)butanoic acid,L-Methionine
(S)-2-amino-4-(methylthio)butyric acid,L-Methionine
(S)-methionine,L-Methionine
L-(-)-Methionine,L-Methionine
L-a-Amino-g-methylthiobutyric acid,L-Methionine
L-alpha-amino-gamma-Methylmercaptobutyric acid,L-Methionine
L-Methionin,L-Methionine
L-Methionine,L-Methionine
L-Î±-amino-Î_-methylmercaptobutyric acid,L-Methionine
M,L-Methionine
Met,L-Methionine
Methionine,L-Methionine
(âˆ’)-Î±-amino-p-hydroxyhydrocinnamic acid,L-Tyrosine
(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,L-Tyrosine
(S)-(-)-Tyrosine,L-Tyrosine
(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid,L-Tyrosine
(S)-3-(p-Hydroxyphenyl)alanine,L-Tyrosine
(S)-alpha-amino-4-Hydroxybenzenepropanoic acid,L-Tyrosine
(S)-Tyrosine,L-Tyrosine
(S)-Î±-amino-4-hydroxybenzenepropanoic acid,L-Tyrosine
4-hydroxy-L-phenylalanine,L-Tyrosine
L-Tyrosin,L-Tyrosine
Tyr,L-Tyrosine
Tyrosine,L-Tyrosine
Y,L-Tyrosine
(1S 3R 5Z 7E)-9 10-secocholesta-5 7 10-triene-1 3 25-triol,Calcitriol
(1Î± 3Î_ 5Z 7E)-9 10-secocholesta-5 7 10(19)-triene-1 3 25-triol,Calcitriol
(5Z 7E)-(1S 3R)-9 10-secocholesta-5 7 10(19)-triene-1 3 25-triol,Calcitriol
1-alpha-25-Dihydroxyvitamin D3,Calcitriol
1 25-DHCC,Calcitriol
1 25-dihydroxycholecalciferol,Calcitriol
1Î± 25-dihydroxycholecalciferol,Calcitriol
1Î± 25-dihydroxyvitamin D3,Calcitriol
1Î± 25(OH)2D3,Calcitriol
Calcitriol,Calcitriol
Calcitriolum,Calcitriol
Xanthophyll,Lutein
Xantofyl,Lutein
(R R)-3 3'-dithiobis(2-aminopropanoic acid),Cystine
L-alpha-Diamino-beta-dithiolactic acid,Cystine
L-Cystine,Cystine
L-Dicysteine,Cystine
Î_ Î_'-dithiodialanine,Cystine
1 2-Ethanedicarboxylic acid,Succinic acid
Acide butanedioique,Succinic acid
Acide succinique,Succinic acid
Acidum succinicum,Succinic acid
Amber acid,Succinic acid
Asuccin,Succinic acid
Bernsteinsaeure,Succinic acid
Bernsteinsaure,Succinic acid
Butandisaeure,Succinic acid
Butanedioic acid,Succinic acid
Butanedionic acid,Succinic acid
Dihydrofumaric acid,Succinic acid
e363,Succinic acid
Ethylenesuccinic acid,Succinic acid
HOOC-CH2-CH2-COOH,Succinic acid
Spirit of amber,Succinic acid
Succinate,Succinic acid
Succinic acid,Succinic acid
1-Deoxy-1-(7 8-dimethyl-2 4-dioxo-3 4-dihydrobenzo[g]pteridin-10(2H)-yl)pentitol,Riboflavin
6 7-Dimethyl-9-D-ribitylisoalloxazine,Riboflavin
7 8-Dimethyl-10-(D-ribo-2 3 4 5-tetrahydroxypentyl)isoalloxazine,Riboflavin
7 8-Dimethyl-10-ribitylisoalloxazine,Riboflavin
E101,Riboflavin
Lactoflavin,Riboflavin
Lactoflavine,Riboflavin
Riboflavina,Riboflavin
Riboflavine,Riboflavin
Riboflavinum,Riboflavin
Vitamin B2,Riboflavin
Vitamin G,Riboflavin
2-Acetamido-2-deoxy-D-glucose,N-Acetylglucosamine
aldehydo-N-acetyl-D-glucosamine,N-Acetylglucosamine
D-GlcNAc,N-Acetylglucosamine
N-Acetyl-D-glucosamine,N-Acetylglucosamine
N-Acetylchitosamine,N-Acetylglucosamine
(2S)-2-Aminopentanedioic acid,Glutamic Acid
(S)-2-Aminopentanedioic acid,Glutamic Acid
(S)-Glutamic acid,Glutamic Acid
Glu,Glutamic Acid
L-Glutamate,Glutamic Acid
L-Glutamic acid,Glutamic Acid
L-Glutaminic acid,Glutamic Acid
5-L-Glutamyl-L-cysteinylglycine,Glutathione
gamma-L-Glutamyl-L-cysteinyl-glycine,Glutathione
Glutathione,Glutathione
Glutathione-SH,Glutathione
GSH,Glutathione
N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine,Glutathione
Reduced glutathione,Glutathione
Phosphatidyl-L-serine,Phosphatidyl serine
Phosphatidylserine,Phosphatidyl serine
PS,Phosphatidyl serine
Ptd-L-Ser,Phosphatidyl serine
Aminoacetic acid,Glycine
AminoessigsÃ_ure,Glycine
Aminoethanoic acid,Glycine
Gly,Glycine
Glycin,Glycine
Glycocoll,Glycine
Glykokoll,Glycine
Glyzin,Glycine
Leimzucker,Glycine
(3S 5Z 7E)-9 10-secocholesta-5 7 10-triene-3 25-diol,Calcidiol
(3Î_ 5Z 7E)-9 10-secocholesta-5 7 10(19)-triene-3 25-diol,Calcidiol
(5Z 7E)-(3S)-9 10-secocholesta-5 7 10(19)-triene-3 25-diol,Calcidiol
25-hydroxycholecalciferol,Calcidiol
25-Hydroxyvitamin D3,Calcidiol
Calcidiol,Calcidiol
CalcifÃ©diol,Calcidiol
Calcifediol,Calcidiol
Calcifediol anhydrous,Calcidiol
Calcifediol Anhydrous,Calcidiol
Calcifediolum,Calcidiol
2-methyl-3-hydroxy-4-formyl-5-hydroxymethylpyridine,Pyridoxal
3-hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxaldehyde,Pyridoxal
3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde,Pyridoxal
3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxaldehyde,Pyridoxal
Piridoxal,Pyridoxal
Pyridoxaldehyde,Pyridoxal
((amino(Imino)methyl)(methyl)amino)acetic acid,Creatine
(alpha-Methylguanido)acetic acid,Creatine
(N-methylcarbamimidamido)acetic acid,Creatine
(Î±-methylguanido)acetic acid,Creatine
alpha-Methylguanidino acetic acid,Creatine
Creatin,Creatine
Creatine,Creatine
Kreatin,Creatine
Methylglycocyamine,Creatine
N-(aminoiminomethyl)-N-methylglycine,Creatine
N-[(e)-AMINO(imino)methyl]-N-methylglycine,Creatine
N-Amidinosarcosine,Creatine
N-Carbamimidoyl-N-methylglycine,Creatine
N-Methyl-N-guanylglycine,Creatine
(2S)-2-Amino-4-methylpentanoic acid,L-Leucine
(2S)-alpha-2-Amino-4-methylvaleric acid,L-Leucine
(2S)-alpha-Leucine,L-Leucine
(S)-(+)-Leucine,L-Leucine
(S)-Leucine,L-Leucine
2-Amino-4-methylvaleric acid,L-Leucine
L,L-Leucine
L-Leucin,L-Leucine
L-Leuzin,L-Leucine
Leu,L-Leucine
Leucine,L-Leucine
(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,L-Tryptophan
(S)-alpha-Amino-beta-(3-indolyl)-propionic acid,L-Tryptophan
(S)-Tryptophan,L-Tryptophan
(S)-Î±-amino-1H-indole-3-propanoic acid,L-Tryptophan
L-(-)-Tryptophan,L-Tryptophan
L-(âˆ’)-tryptophan,L-Tryptophan
L-Î_-3-indolylalanine,L-Tryptophan
Trp,L-Tryptophan
Tryptophan,L-Tryptophan
W,L-Tryptophan
(2R)-2-amino-3-mercaptopropanoic acid,L-Cysteine
(2R)-2-amino-3-sulfanylpropanoic acid,L-Cysteine
(R)-2-Amino-3-mercaptopropanoic acid,L-Cysteine
Cys,L-Cysteine
Cysteine,L-Cysteine
Free Cysteine,L-Cysteine
L-2-Amino-3-mercaptopropionic acid,L-Cysteine
L-Cys,L-Cysteine
L-Cystein,L-Cysteine
L-Zystein,L-Cysteine
3-(4-AMINO-2-methyl-pyrimidin-5-ylmethyl)-5-(2-hydroxy-ethyl)-4-methyl-thiazol-3-ium,Thiamine
Aneurin,Thiamine
Antiberiberi factor,Thiamine
Thiamin,Thiamine
Thiamine,Thiamine
thiamine(1+),Thiamine
thiamine(1+) ion,Thiamine
thiaminium,Thiamine
Vitamin B1,Thiamine
(3Î_ 5Z 7E 22E)-9 10-secoergosta-5 7 10(19) 22-tetraen-3-ol,Ergocalciferol
(5Z 7E 22E)-(3S)-9 10-seco-5 7 10(19) 22-ergostatetraen-3-ol,Ergocalciferol
(5Z 7E 22E)-(3S)-9 10-secoergosta-5 7 10(19) 22-tetraen-3-ol,Ergocalciferol
Activated ergosterol,Ergocalciferol
Ercalciol,Ergocalciferol
ErgocalcifÃ©rol,Ergocalciferol
Ergocalciferol,Ergocalciferol
Ergocalciferolum,Ergocalciferol
Oleovitamin D2,Ergocalciferol
Viosterol,Ergocalciferol
Vitamin D2,Ergocalciferol
Vitamina D2,Ergocalciferol
(8Z 11Z 14Z)-Icosatrienoic acid,Dihomo-gamma-linolenic acid
(Z Z Z)-8 11 14-Eicosatrienoic acid,Dihomo-gamma-linolenic acid
(Z Z Z)-8 11 14-Icosatrienoate,Dihomo-gamma-linolenic acid
(Z Z Z)-8 11 14-Icosatrienoic acid,Dihomo-gamma-linolenic acid
20:3  n-6 9 12 all-cis,Dihomo-gamma-linolenic acid
8 11 14-Eicosatrienoic Acid,Dihomo-gamma-linolenic acid
8c 11c 14c-eicosatrienoic acid,Dihomo-gamma-linolenic acid
8c 11c 14c-Eicosatriensaeure,Dihomo-gamma-linolenic acid
all-cis-8 11 14-eicosatrienoic acid,Dihomo-gamma-linolenic acid
all-cis-8 11 14-icosatrienoic acid,Dihomo-gamma-linolenic acid
all-cis-eicosa-8 11 14-trienoic acid,Dihomo-gamma-linolenic acid
all-cis-Eicosa-8 11 14-triensaeure,Dihomo-gamma-linolenic acid
all-cis-icosa-8 11 14-trienoic acid,Dihomo-gamma-linolenic acid
C20:3  n-6 9 12 all-cis,Dihomo-gamma-linolenic acid
cis cis cis-8 11 14-eicosatrienoic acid,Dihomo-gamma-linolenic acid
DGLA,Dihomo-gamma-linolenic acid
Dihomo-Î_-linolenic acid,Dihomo-gamma-linolenic acid
eicosa-8Z 11Z 14Z-trienoic acid,Dihomo-gamma-linolenic acid
gamma-Homolinolenic acid,Dihomo-gamma-linolenic acid
Homo-gamma-linolenic acid,Dihomo-gamma-linolenic acid
Homo-gamma-linolensaeure,Dihomo-gamma-linolenic acid
(S)-2-Amino-5-ureidopentanoic acid,L-Citrulline
2-Amino-5-ureidovaleric acid,L-Citrulline
alpha-amino-delta-Ureidovaleric acid,L-Citrulline
Cit,L-Citrulline
Citrulline,L-Citrulline
delta-Ureidonorvaline,L-Citrulline
L-2-Amino-5-ureidovaleric acid,L-Citrulline
L-Citrulline,L-Citrulline
N(5)-(Aminocarbonyl)-L-ornithine,L-Citrulline
N(delta)-Carbamylornithine,L-Citrulline
N5-(Aminocarbonyl)ornithine,L-Citrulline
N5-Carbamoyl-L-ornithine,L-Citrulline
N5-carbamoylornithine,L-Citrulline
Î±-amino-Î´-ureidovaleric acid,L-Citrulline
Î´-ureidonorvaline,L-Citrulline
(2S 3R)-(-)-Threonine,L-Threonine
(2S)-threonine,L-Threonine
2-Amino-3-hydroxybutyric acid,L-Threonine
L-(-)-Threonine,L-Threonine
L-2-Amino-3-hydroxybutyric acid,L-Threonine
L-alpha-amino-beta-hydroxybutyric acid,L-Threonine
L-Threonin,L-Threonine
L-Î±-amino-Î_-hydroxybutyric acid,L-Threonine
Thr,L-Threonine
Threonine,L-Threonine
1 4-dihydronicotinamide adenine dinucleotide,NADH
DPNH,NADH
NAD reduced form,NADH
Nicotinamide adenine dinucleotide (reduced),NADH
Nicotinamide-adenine dinucleotide  reduced,NADH
Reduced nicotinamide adenine diphosphate,NADH
Reduced nicotinamide-adenine dinucleotide,NADH
Folacin,Folic Acid
Folate,Folic Acid
Folic acid,Folic Acid
Folsaeure,Folic Acid
N-[(4-{[(2-amino-4-oxo-1 4-dihydropteridin-6-yl)methyl]amino}phenyl)carbonyl]-L-glutamic acid,Folic Acid
N-Pteroyl-L-glutamic acid,Folic Acid
PGA,Folic Acid
PteGlu,Folic Acid
Pteroyl-L-glutamate,Folic Acid
Pteroyl-L-glutamic acid,Folic Acid
Pteroyl-L-monoglutamic acid,Folic Acid
Pteroylglutamic acid,Folic Acid
Vitamin B9,Folic Acid
Vitamin Bc,Folic Acid
Vitamin M,Folic Acid
(5Z 8Z 11Z 14Z 17Z)-5 8 11 14 17-Eicosapentaenoic acid,Icosapent
(5Z 8Z 11Z 14Z 17Z)-Eicosapentaenoate,Icosapent
(5Z 8Z 11Z 14Z 17Z)-Eicosapentaenoic acid,Icosapent
(5Z 8Z 11Z 14Z 17Z)-Icosapentaenoic acid,Icosapent
(all-Z)-5 8 11 14 17-Eicosapentaenoic acid,Icosapent
5 8 11 14 17-EICOSAPENTAENOIC acid,Icosapent
5 8 11 14 17-Icosapentaenoic acid,Icosapent
all-cis-5 8 11 14 17-eicosapentaenoic acid,Icosapent
all-cis-5 8 11 14 17-icosapentaenoic acid,Icosapent
all-cis-icosa-5 8 11 14 17-pentaenoic acid,Icosapent
cis-5 8 11 14 17-Eicosapentaenoic acid,Icosapent
cis-5 8 11 14 17-EPA,Icosapent
cis-delta(5 8 11 14 17)-Eicosapentaenoic acid,Icosapent
cis  cis  cis  cis  cis-Eicosa-5 8 11 14 17-pentaenoic acid,Icosapent
Eicosapentaenoic acid,Icosapent
EPA,Icosapent
Icosapent,Icosapent
Icosapentaenoic acid,Icosapent
Icosapento,Icosapent
Icosapentum,Icosapent
Timnodonic acid,Icosapent
(2S)-2-aminopropanoic acid,L-Alanine
(S)-2-aminopropanoic acid,L-Alanine
(S)-alanine,L-Alanine
Alanine,L-Alanine
L-2-Aminopropionic acid,L-Alanine
L-Alanin,L-Alanine
L-alpha-Alanine,L-Alanine
L-Î±-alanine,L-Alanine
(2S)-2-Amino-3-methylbutanoic acid,L-Valine
(S)-Valine,L-Valine
2-Amino-3-methylbutyric acid,L-Valine
L-(+)-alpha-Aminoisovaleric acid,L-Valine
L-alpha-Amino-beta-methylbutyric acid,L-Valine
Val,L-Valine
Valine,L-Valine
(2E 4E 6E 8E)-3 7-dimethyl-9-(2 6 6-trimethylcyclohex-1-en-1-yl)nona-2 4 6 8-tetraen-1-ol,Vitamin A
all-trans-retinol,Vitamin A
all-trans-retinyl alcohol,Vitamin A
all-trans-vitamin A alcohol,Vitamin A
Retinol,Vitamin A
Vitamin A1,Vitamin A
(+)-Î±-tocopherol,Vitamin E
(2R 4'R 8'R)-Î±-tocopherol,Vitamin E
(2R)-2 5 7 8-TETRAMETHYL-2-[(4R 8R)-4 8 12-TRIMETHYLTRIDECYL]CHROMAN-6-OL,Vitamin E
(R R R)-Î±-tocopherol,Vitamin E
5 7 8-trimethyltocol,Vitamin E
alpha-tocopherol,Vitamin E
d-Î±-tocopherol,Vitamin E
2-Methyl-3-hydroxy-4 5-dihydroxymethylpyridine,Pyridoxine
3-hydroxy-4 5-bis(hydroxymethyl)-2-methylpyridine,Pyridoxine
3-Hydroxy-4 5-dimethylol-alpha-picoline,Pyridoxine
5-Hydroxy-6-methyl-3 4-pyridinedimethanol,Pyridoxine
Pyridoxine,Pyridoxine
Pyridoxol,Pyridoxine
Vitamin B6,Pyridoxine
(+)-alpha-Lipoic acid,Lipoic Acid
(R)-(+)-Lipoate,Lipoic Acid
(R)-(+)-lipoic acid,Lipoic Acid
(R)-1 2-Dithiolane-3-pentanoic acid,Lipoic Acid
(R)-1 2-dithiolane-3-valeric acid,Lipoic Acid
(R)-6 8-thioctic acid,Lipoic Acid
(R)-lipoic acid,Lipoic Acid
alpha-Lipoic acid,Lipoic Acid
alpha-LiponsÃ_ure,Lipoic Acid
D-thioctic acid,Lipoic Acid
R-(+)-thioctic acid,Lipoic Acid
R-alpha-lipoic acid,Lipoic Acid
Thioctic acid D-form,Lipoic Acid
Î±-lipoic acid,Lipoic Acid
(2S 3S)-2-Amino-3-methylpentanoic acid,L-Isoleucine
2-Amino-3-methylvaleric acid,L-Isoleucine
alpha-amino-beta-methylvaleric acid,L-Isoleucine
I,L-Isoleucine
Ile,L-Isoleucine
Isoleucine,L-Isoleucine
L-Isoleucine,L-Isoleucine
Î±-amino-Î_-methylvaleric acid,L-Isoleucine
1-Methyl N-L-alpha-aspartyl-L-phenylalanate,Aspartame
1-Methyl N-L-alpha-aspartyl-L-phenylalanine,Aspartame
1-methyl N-L-Î±-aspartyl-L-phenylalanate,Aspartame
3-Amino-N-(alpha-carboxyphenethyl)succinamic acid N-methyl ester,Aspartame
3-Amino-N-(alpha-methoxycarbonylphenethyl) succinamic acid,Aspartame
3-Amino-N-(Î±-carboxyphenethyl)succinamic acid N-methyl ester,Aspartame
3-Amino-N-(Î±-methoxycarbonylphenethyl) succinamic acid,Aspartame
Asp-phe-ome,Aspartame
Aspartam,Aspartame
Aspartame,Aspartame
Aspartamo,Aspartame
Aspartamum,Aspartame
Aspartylphenylalanine methyl ester,Aspartame
L-Aspartyl-L-phenylalanine methyl ester,Aspartame
(+)-vitamin D3,Cholecalciferol
(1S 3Z)-3-[(2e)-2-[(1R 3AR 7as)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-2 3 3a 5 6 7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidene-cyclohexan-1-ol,Cholecalciferol
(3Î_ 5Z 7E)-9 10-secocholesta-5 7 10(19)-trien-3-ol,Cholecalciferol
(5Z 7E)-(3S)-9 10-secocholesta-5 7 10(19)-trien-3-ol,Cholecalciferol
Activated 7-dehydrocholesterol,Cholecalciferol
Calciol,Cholecalciferol
CC,Cholecalciferol
Colecalciferol,Cholecalciferol
colecalciferolum,Cholecalciferol
Oleovitamin D3,Cholecalciferol
Vitamin D-3,Cholecalciferol
Vitamin D3,Cholecalciferol
2-Methyl-1 4-Naphthalenedione,Menadione
2-Methyl-1 4-naphthochinon,Menadione
2-Methyl-1 4-naphthoquinone,Menadione
Menadione,Menadione
Vitamin K3,Menadione
Adenosine 5'-triphosphate,ATP
Adenosine triphosphate,ATP
Adenosine-5'-triphosphate,ATP
ATP,ATP
(-)-2-Pyrrolidinecarboxylic acid,L-Proline
(âˆ’)-(S)-proline,L-Proline
(âˆ’)-2-pyrrolidinecarboxylic acid,L-Proline
(âˆ’)-proline,L-Proline
(2S)-pyrrolidine-2-carboxylic acid,L-Proline
(S)-2-Carboxypyrrolidine,L-Proline
(S)-2-Pyrrolidinecarboxylic acid,L-Proline
(S)-pyrrolidine-2-carboxylic acid,L-Proline
2-Pyrrolidinecarboxylic acid,L-Proline
L-(âˆ’)-proline,L-Proline
L-alpha-pyrrolidinecarboxylic acid,L-Proline
L-Prolin,L-Proline
L-pyrrolidine-2-carboxylic acid,L-Proline
L-Î±-pyrrolidinecarboxylic acid,L-Proline
P,L-Proline
Prolina,L-Proline
Proline,L-Proline
Prolinum,L-Proline
6-Aminopurine,Adenine
Adenin,Adenine
Vitamin B4,Adenine
(2S)-2-amino-3-carbamoylpropanoic acid,L-Asparagine
(2S)-2 4-diamino-4-oxobutanoic acid,L-Asparagine
(S)-2-amino-3-carbamoylpropanoic acid,L-Asparagine
(S)-Asparagine,L-Asparagine
2-Aminosuccinamic acid,L-Asparagine
alpha-aminosuccinamic acid,L-Asparagine
Asn,L-Asparagine
Asparagine,L-Asparagine
Aspartamic acid,L-Asparagine
L-2-aminosuccinamic acid,L-Asparagine
L-Asparagin,L-Asparagine
L-Asparagine,L-Asparagine
L-aspartic acid beta-amide,L-Asparagine
L-aspartic acid Î_-amide,L-Asparagine
N,L-Asparagine
Î±-aminosuccinamic acid,L-Asparagine
(+)-(3R 5R)-3 5-Dihydroxy-7-[(1S 2S 6S 8S 8ar)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1 2 6 7 8 8a-hexahydro-1-naphthyl]heptanoic acid,Pravastatin
Pravastatin acid,Pravastatin
Pravastatina,Pravastatin
Pravastatine,Pravastatin
Pravastatinum,Pravastatin
Fluvoxamina,Fluvoxamine
Fluvoxamine,Fluvoxamine
Fluvoxaminum,Fluvoxamine
(S)-N-Valeryl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]-methyl}-valine,Valsartan
N-(P-(O-1H-Tetrazol-5-ylphenyl)benzyl)-N-valeryl-L-valine,Valsartan
N-pentanoyl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-L-valine,Valsartan
(2S-(1(R*(r*)) 2alpha 3abeta 6abeta))-1-(2-((1-(ethoxycarbonyl)-3-phenylpropyl)amino)-1-oxopropyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid,Ramipril
Altace (tn),Ramipril
Ramipril,Ramipril
Ramiprilum,Ramipril
Tritace,Ramipril
erythro-nordihydroguaiaretic acid,Masoprocol
Masoprocolum,Masoprocol
meso-1 4-bis(3 4-dihydroxyphenyl)-2 3-dimethylbutane,Masoprocol
meso-2 3-bis(3 4-dihydroxyphenylmethyl)butane,Masoprocol
meso-4-[4-(3 4-dihydroxyphenyl)-2 3-dimethylbutyl]benzene-1 2-diol,Masoprocol
meso-4 4'-(2 3-dimethyl-1 4-butanediyl)bis(pyrocatechol),Masoprocol
meso-4 4'-(2 3-dimethyltetramethylene)dipyrocatechol,Masoprocol
meso-NDGA,Masoprocol
meso-nordihydroguaiaretic acid,Masoprocol
meso-Î_ Î_-dimethyl-Î± Î´-bis(3 4-dihydroxyphenyl)butan,Masoprocol
Nordihydroguaiaretic acid,Masoprocol
Flunisolida,Flunisolide
Flunisolide,Flunisolide
Flunisolide anhydrous,Flunisolide
Flunisolidum,Flunisolide
(+-)-Baclofen,Baclofen
4-Amino-3-(4-chlorophenyl)butyric acid,Baclofen
Baclofene,Baclofen
Baclofeno,Baclofen
Baclofenum,Baclofen
beta-(4-Chlorophenyl)gaba,Baclofen
beta-(Aminomethyl)-4-chlorobenzenepropanoic acid,Baclofen
beta-(Aminomethyl)-P-chlorohydrocinnamic acid,Baclofen
beta-(P-Chlorophenyl)-gamma-aminobutyric acid,Baclofen
DL-4-Amino-3-P-chlorophenylbutanoic acid,Baclofen
DL-Baclofen,Baclofen
gamma-Amino-beta-(P-chlorophenyl)butyric acid,Baclofen
1-phenyl-2-aminopropane,Amphetamine
1-Phenylpropan-2-amin,Amphetamine
alpha-Methylbenzeneethaneamine,Amphetamine
alpha-Methylphenylethylamine,Amphetamine
Amfetamine,Amphetamine
Amfetaminum,Amphetamine
Amphetamin,Amphetamine
Amphetamine,Amphetamine
beta-Aminopropylbenzene,Amphetamine
beta-Phenylisopropylamin,Amphetamine
beta-Phenylisopropylamine,Amphetamine
Desoxynorephedrine,Amphetamine
rac-(2R)-1-phenylpropan-2-amine,Amphetamine
rac-amphetamine,Amphetamine
Î±-methylbenzeneethaneamine,Amphetamine
Î±-methylphenethylamine,Amphetamine
Î_-aminopropylbenzene,Amphetamine
Î_-phenylisopropylamine,Amphetamine
(âˆ’)-nicotine,Nicotine
(S)-(âˆ’)-nicotine,Nicotine
(S)-3-(1-methylpyrrolidin-2-yl)pyridine,Nicotine
(S)-3-(N-methylpyrrolidin-2-yl)pyridine,Nicotine
(S)-Nicotine,Nicotine
3-(2-(N-methylpyrrolidinyl))pyridine,Nicotine
3-(N-methylpyrollidino)pyridine,Nicotine
L(âˆ’)-nicotine,Nicotine
Nicotine betadex,Nicotine
Nicotine polacrilex,Nicotine
2-Methyspiro(1 3-oxathiolane-5 3)quinuclidine,Cevimeline
Cevimelina,Cevimeline
Cevimelinum,Cevimeline
Sni 2011,Cevimeline
o-Chlorooxazepam,Lorazepam
o-Chloroxazepam,Lorazepam
(Â±)-esmolol,Esmolol
(Â±)-methyl p-(2-hydroxy-3-(isopropylamino)propoxy)hydrocinnamate,Esmolol
3-[4-(2-Hydroxy-3-isopropylamino-propoxy)-phenyl]-propionic acid methyl ester,Esmolol
Methyl 4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)benzenepropanoate,Esmolol
methyl p-(2-hydroxy-3-(isopropylamino)propoxy)hydrocinnamate,Esmolol
[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid,Bortezomib
N-[(1R)-1-(DIHYDROXYBORYL)-3-methylbutyl]-N-(pyrazin-2-ylcarbonyl)-L-phenylalaninamide,Bortezomib
N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE,Bortezomib
1-chloro-3-ethyl-1-penten-4-yn-3-ol,Ethchlorvynol
1-Chloro-3-ethyl-pent-1-en-4-yn-3-ol,Ethchlorvynol
3-(beta-chlorovinyl)-1-pentyn-3-ol,Ethchlorvynol
3-(Î_-chlorovinyl)-1-pentyn-3-ol,Ethchlorvynol
ethyl Î_-chlorovinyl ethynyl carbinol,Ethchlorvynol
Î_-chlorovinyl ethyl ethynyl carbinol,Ethchlorvynol
(-)-L-alpha-Hydrazino-3 4-dihydroxy-alpha-methylhydrocinnamic acid monohydrate,Carbidopa
(S)-(âˆ’)-carbidopa,Carbidopa
(S)-carbidopa,Carbidopa
(Î±S)-Î±-hydrazino-3 4-dihydroxy-Î±-methylbenzenepropanoic acid,Carbidopa
Carbidopum,Carbidopa
L-3-(3 4-dihydroxyphenyl)-2-methyl-2-hydrazinopropionic acid,Carbidopa
L-Î±-methyldopahydrazine,Carbidopa
